id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
7281,Diogo Dalot,1,90,0,0.4653922021389008,0,0.04966239258646965,2,2,0,0,D,Manchester United,0,0.4653922021389008,0.2687801420688629,0.1814173012971878,342,0.4653922021389008,0.4653922021389008,0.04966239258646965
7298,Ben White,1,90,0,0.0,0,0.07888688892126082,0,1,1,0,D,Arsenal,0,0.0,0.07888688892126082,0.0,10,0.0,0.0,0.07888688892126082
7322,Bukayo Saka,1,90,0,0.2325785905122757,0,0.0,3,0,0,0,M,Arsenal,0,0.2325785905122757,0.3414111435413361,0.10883256793022156,13,0.2325785905122757,0.2325785905122757,0.0
7332,Max Kilman,1,90,0,0.061051912605762475,0,0.0,1,0,0,0,D,Wolverhampton Wanderers,0,0.061051912605762475,0.028406448662281036,0.028406448662281036,484,0.061051912605762475,0.061051912605762475,0.0
7352,Tyler Adams,1,90,0,0.015242225490510462,0,0.028160689398646355,1,1,1,0,M,Leeds,0,0.015242225490510462,0.028160689398646355,0.0,506,0.015242225490510462,0.015242225490510462,0.028160689398646355
7382,Dan Burn,1,90,0,0.1758076548576355,0,0.022218165919184685,4,1,0,0,D,Newcastle United,0,0.1758076548576355,0.6198669075965881,0.5880640149116516,358,0.1758076548576355,0.1758076548576355,0.022218165919184685
7384,Chris Mepham,1,90,0,0.0,0,0.0,0,0,0,0,D,Bournemouth,0,0.0,0.0,0.0,71,0.0,0.0,0.0
7420,Miguel Almirón,1,83,0,0.06405009329319,0,0.265885591506958,1,2,0,0,F,Newcastle United,0,0.06405009329319,0.3520233929157257,0.17234563827514648,369,0.06945190839020603,0.06945190839020603,0.2883096775376653
7430,Emerson,1,89,0,0.16674575209617615,1,0.214627668261528,3,2,0,0,D,Tottenham,0,0.16674575209617615,0.9257460236549376,0.5443726181983948,545,0.16861929987253768,0.16861929987253768,0.21703921509592716
7546,Harvey Elliott,1,37,0,0.0,0,0.016681650653481483,0,1,0,0,S,Liverpool,0,0.0,0.13335321843624115,0.11667156964540483,294,0.0,0.0,0.04057698807603604
